"url","type","title","seo_title","seo_description","in_sitemap","indexable","last_crawl","source","notes"
"/","static","Главная","","","yes","yes","2026-07-19","GSC 02.08.2026","Выводит 6 последних услуг"
"/catalog","static","Каталог","","","yes","yes","2026-07-19","GSC 02.08.2026","Фильтры ?q= и ?type="
"/contact","static","Контакты","","","yes","yes","2026-07-19","GSC 02.08.2026",""
"/privacy","static","Политика конфиденциальности","","","yes","yes","2026-07-03","GSC 02.08.2026",""
"/services/kak-naiti-vraca-v-slovenii-licnyi-vrac-ginekolog-pediatr-stomatolog","service","","","","yes","yes","2026-06-14","GSC 02.08.2026","Заголовок и мета-теги взять из базы старого сайта"
"/services/mozno-li-stat-nalogovym-rezidentom-ranse-183-dnei","service","","","","yes","yes","2026-07-18","GSC 02.08.2026","Заголовок и мета-теги взять из базы старого сайта"
"/services/nalogovoe-rezidentstvo-slovenii","service","","","","yes","yes","2026-07-21","GSC 02.08.2026","Заголовок и мета-теги взять из базы старого сайта"
"/services/nalogovyi-vycet-na-izdivencev-dlia-semi-s-vnz","service","","","","yes","yes","2026-07-18","GSC 02.08.2026","Заголовок и мета-теги взять из базы старого сайта"
"/services/oformlenie-rebenka-v-skolu-v-slovenii-osnovna-sola-1-9-klassy","service","","","","yes","yes","2026-07-09","GSC 02.08.2026","Заголовок и мета-теги взять из базы старого сайта"
"/terms","static","Условия","","","yes","yes","2026-07-21","GSC 02.08.2026",""
"/search","redirect","","","","no","no","","routes/web.php","301 на /catalog с сохранением ?q="
"/services/{slug}/content","protected","","","","no","no","","routes/web.php","Закрыто токеном, Disallow в robots.txt"
